72,224,147.9,1208.9,0.17414,-0.52037,-1.3832,41.105,122.67,149.56
43,208,119.71,1817.2,0.12676,-0.35997,-1.8673,137.2,137.85,147.87
36,159,90.459,1081.1,0.0010312,-0.0015545,-1.3328,126.43,114.47,44.709
56,215,154.63,779.23,0.10035,-0.26626,-0.053115,222.75,22.724,210.01
95,255,205.4,617.58,0.0060067,-0.030728,-0.40232,119.32,229.62,191.76
44,228,171.59,805.91,0.33012,-0.94906,-1.377,59.152,222.16,196.41
34,235,148.54,2226.5,0.13475,-0.55282,-5.5147,87.387,168.74,97.916
122,217,173.01,401.98,0.051044,-0.091494,-0.73622,32.25,250.4,155.54
37,255,185.33,979.43,0.061623,-0.69079,-8.4489,283.97,96.359,143.02
48,218,155.53,1918.1,0.033565,-0.04545,-0.096528,31.977,183.38,114.08
31,157,86.405,1080.4,0.00090406,-0.0018431,-1.0991,50.286,49.94,121.78
43,213,120.57,2357.8,0.06638,-0.11157,-0.80777,29.377,244.13,118.94
24,218,187.91,1668.4,0.011664,-0.065787,-0.35655,308.8,11.416,195.08
62,211,150.58,1436.6,0.040732,-0.14127,-0.29099,147.39,169.55,205.35
48,222,183.63,1958.1,0.0083499,-0.011967,-0.19908,91.241,265.93,211.98
91,220,171.34,519.58,0.051195,-0.081039,-0.72961,56.399,256.44,199.6
34,248,178.52,2640.6,0.0036991,-0.0060473,-0.44762,75.241,255.61,134.14
87,221,152.13,1125.1,0.045089,-0.10977,-0.1908,149.01,143.4,92.812
34,234,150.35,2063.6,0.18223,-0.52658,-5.2615,98.904,161.7,113.21
31,197,91.522,1483.4,0.0007041,-0.00205,-1.1711,45.444,100.42,118.19
48,212,165.67,1198.7,0.026982,-0.093403,-0.56132,26.621,208.78,216.12
22,255,182.72,3092.5,0.0011984,-0.0023999,-0.068334,307.39,8.7878,34.266
89,207,154.62,610.31,0.046286,-0.057071,-0.92431,197.08,42.436,113.39
86,208,153.05,711.78,0.030161,-0.13986,-0.45478,206.14,44.321,144.76
44,213,142.28,1315.4,0.43534,-0.50812,-1.3014,148.02,40.508,133.68
36,190,86.071,1101.3,0.0014734,-0.00097269,-1.0603,73.182,80.654,88.425
38,217,155.37,2095.5,0.12354,-0.42806,-0.3995,46.649,224.54,193.83
26,255,192.15,2177.2,0.001065,-0.0023542,-0.063934,233.22,85.068,160.22
9,254,185.16,5011.2,0.0036685,-0.0012465,-0.04012,45.013,210.66,219.02
62,218,168.1,751.45,0.032025,-0.20195,-2.9549,103.09,119.49,169.78
86,139,92.25,160.73,0.051139,-0.030571,-0.23637,125.49,31.725,87.134
38,235,184.65,670.38,0.037302,-0.37707,-0.64769,45.439,102.23,148.77
50,255,186.1,808.79,0.024735,-0.47849,-19.438,326.07,34.785,151.75
48,231,184.73,496.79,0.00089272,-0.60992,-4.8686,41.814,204.5,170.28
86,217,167.97,665.54,0.034214,-0.19611,-3.0823,213.15,24.837,156.6
31,188,85.372,1094.3,0.0009928,-0.0019405,-1.0488,154.81,67.132,98.709
95,255,205.07,589.7,0.0060383,-0.03145,-0.39892,24.731,312.77,154.38
31,195,86.244,1337.5,0.00067834,-0.0022067,-1.0463,45.896,96.134,79.195
72,146,94.949,226.31,0.12818,-0.087005,-0.67716,29.546,121.47,85.12
43,228,159.85,3245.6,0.062079,-0.13706,-0.74562,17.892,288.18,218.46
