134.59,215,1796.6
131.21,211,1795.3
129.23,211,1889.6
130.04,211,2020.9
129.52,210,1954.4
127.59,212,2158.9
129.29,219,2112.8
131.45,214,2074.7
134.03,214,1749.1
130,212,1968.4
130.77,215,2135.8
131.05,220,2345
126.63,209,1948.1
128.79,214,2197.4
127.74,214,2050.9
129.95,214,2070
133.57,213,1669.7
132.57,214,2126.2
128.8,212,2001.3
132.6,215,1869.7
132.28,218,1809
128.9,215,2180.1
132.49,213,2102.9
128.27,213,2048.2
128.08,211,1933.3
131.8,217,2153.6
133.38,207,1966
125.85,213,1993.9
133.11,214,2164
126.04,216,1951.4
134.18,212,1944
130.6,213,2130.7
135.01,216,1808.4
127.59,210,2104.2
132.58,210,1766
128.35,217,2067.6
133.25,215,1825.5
128.7,210,1909.3
130.85,216,2348.5
127.94,217,2101.2
125.49,210,2091.9
128.15,209,2123.7
126.64,210,2090.5
129.46,217,1954.8
134.33,215,1818.9
128.83,220,2259.8
129.54,220,2314.5
131.72,219,2118.3
127.14,208,1932.4
131.48,214,2130.2
133,213,1945.8
130.39,210,2053.1
130.78,217,1922.8
130.06,214,1847.9
128.27,212,2008.7
128.16,209,1896.3
130.08,217,2105.1
129.99,213,1986.6
128.67,220,2095.8
129.22,212,2135.9
129.58,214,2059.6
130.4,212,2098.9
130.68,215,2044.1
134.39,214,2055.1
132.62,216,1871.4
130.31,209,1876.4
127.8,216,2009.1
127.13,210,1962.1
128.11,212,1956.9
130.36,220,2203.2
133.84,219,2169.4
126.42,216,2171.8
132.42,216,2077.5
130.87,212,1936.7
128.92,212,2106.6
130.32,217,2062.2
132.27,215,2221.9
127.91,214,2043.8
132.64,214,1829.9
128.66,217,2047.2
127.05,210,1878.4
129.28,215,2057.7
131.79,218,2205.8
132.14,220,2241.2
131.56,215,2118.9
132.05,215,2146.6
133.71,215,1890.6
131.58,216,1875.1
131.42,215,2029.5
134.15,214,1972.8
131.54,215,2083.2
132.59,215,1887.6
131.44,215,1796.3
132.62,215,1822.2
133.17,215,1770.3
131.92,212,1927.5
130.16,210,1861.4
126.96,209,1894.1
127.71,211,2055.8
127.1,216,2036.7
126.21,211,2013.3
131.9,212,2017.8
128.99,214,1960.7
128.16,214,2072.1
132.84,220,2205.5
133.5,212,1995.1
130.41,210,2169
133.7,214,2275.3
131.84,215,1891
133.28,215,1881.2
132.8,214,1911.2
130.9,214,2095.8
127.16,217,2148.1
126.25,214,1957.2
129.69,220,2168.3
131.59,219,1975.9
130.68,213,1836.3
130.46,213,2036.1
128.11,219,2204.2
131.63,220,2143
130.72,210,1963.8
130.34,214,2102.8
131.83,215,1723.8
133.55,216,1955.6
126.66,214,2237
130.04,217,1963.8
133.24,210,2023
128.79,212,1951.5
130.26,219,2150.8
132.77,215,1884.2
127.94,219,2105.3
126.62,208,1972.7
129.43,217,2000.8
130.1,220,2188.9
134.21,215,1821.2
131.81,214,1752.1
132.41,217,2056.6
131,217,1823.1
127.04,214,2182.6
130.78,220,2111.2
127.2,216,1776.7
126.48,216,2120.4
132.29,214,1813.8
128.11,214,1991.6
126.44,216,1939.4
130.51,219,2100.8
128.65,216,2029.2
129.84,215,1978.9
131.85,214,2086.5
131.24,213,1839.9
129.2,217,2088.2
126.09,214,2012.5
133.58,215,1822.1
126.89,212,2248.2
131.38,212,2135.7
132.14,211,1875.3
132.17,218,1900.3
127.12,212,2066.1
131.56,219,2061.3
126.02,211,1821.5
127.73,219,2145.9
126.96,217,2082.4
132.51,215,2029.3
127.54,217,1928.3
135.77,210,1868.9
127.68,212,2209.9
132.03,215,1820.3
130.72,212,1907.9
126.05,213,2091.7
125.42,211,2081.2
131.25,217,1896.7
133.82,215,1853.7
133.46,215,1804.8
130.31,212,1910.5
